index,Sample in Buffer,Sample in Window,TRIGGER,ila_data[639:0],bram_address[7:0]
511,510,510,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,01
516,515,515,0,47af8e5f340540f2255388abf7c6316001757f67077c0693cdf9522651b0388f0000ac3e6d0997f56ce9cdf169ec653052bc9be11d071129187b4080c61b3cc6df82677514f785276e5ad799a63137be,02
521,520,520,0,e2368cc1b87df25a0ff365520a3409c92b02863c7cf959e6980e130636b25228210f40d2df108f8f9e51e975c716978919ed155dbf2dcc533c7db49d9626e510c121bc9c1e0d03d3d5c51252b01dd80f,03
526,525,525,0,cc894b90f4ba61be02eb0f7b13ea33358b48a114634caba578c9141b970faa77c167873db3330db53660e24cf6fe78058d128d16e9bcf21ff3017e7f406addad5200b1f44d713449ba49d4b317d89625,04
531,530,530,0,cceb1bbc16f2c4c630e752a0a1724bc9309e984ae5bac74222504a37b1ea6802fb8bc41dfc33701e8d7c6adb63a8cbb9e7bfb1dbb137a34caf946af4b1f3ff9ff81f6716d8c0868e24dc253574966cb6,05
536,535,535,0,4addfceb3545bb3be6f8d5c03c63551dbe77547e9ba20a2027a15dc887da0c60f92e37e61a97b3e9f71934a04a24e0e1ccebedc1fa684c0804ea0dc8c04a7b6ef865d8ea09452e104f8188e9fc52095d,06
541,540,540,0,677e39862d5bf2cedd93b2d27b89fbfbe8f57774647a23b3f62c3803a8716a76f5279c5c9fefcdb156f80de9d940d2a3a930ea990dcb1cd9d97348d81cc0e08d7ddcd5c388fa566fde9796c7943f0e61,07
546,545,545,0,360696a8913875b001b39c0b3629b28ce98d8281d1819751aad63ecd6354d0034cc4db270afcbaa8fb2088a1d02d77467a50398aea4dece27f01e170248c978d1491f0b097c0a03bfd235463e25cf614,08
551,550,550,0,89934d3342c36ebad40c6f980ff613bea65c6f8f81a10d15bd2340b908643db4f2c1d5847e1d81cd9a07d3a2e6d707ad44b5d131a38846ea803d47f1cb016af1350aea6f348fc7b512cf4f19d1b5c4e8,09
556,555,555,0,2d13a2469d480a2efdbdb7fc68415939f7a3ec2d906912b0bc9e3019b8f788a07f8a5f763625dac6cb86138f5ee80abbb757bf05fb6b629943e363ae44727f758a4e69c0ce531c31212d8358ac1e4e6a,0a
